# metric_direction: higher
# mode: loop
# parallel: serial
# web_search: disabled
# goal: Improve the non-LLM recall pipeline by consuming layered memory DSL in ordinary retrieval and working-memory assembly
# scope: src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs
# repos_json: [{"path":"/home/tongyuan/project/agent_memos","role":"primary","scope":"src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs"}]
# metric: retrieval_green_checks
# verify: cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly
# guard: cargo clippy --quiet --all-targets -- -D warnings
# rollback_policy: revert
iteration	commit	metric	delta	guard	status	description
965	-	327	0	pass	no-op	[labels: retained-state-stability-327a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking ready second-channel text output. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 328 tests total, the focused suite counts now stand at 25, 179, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 327.
966	3e9740e79be8fad0616b5c9ffc8b9457a56b699b	332	+5	pass	keep	[labels: second-channel-trace-preservation-lock, lexical-first, working-memory-assembly] Added focused working_memory_assembly coverage to lock that fragment trace metadata from second-channel searches is preserved when integrated results are assembled into working memory. The new tests verify EmbeddingOnly and Hybrid channel_contribution plus Embedding query strategy propagation through integrated_results. The focused suite counts now stand at 25, 179, and 126, and the full focused verify passed cleanly at 330 tests total. This increases the retained metric from 327 to 332 by locking two additional trace-preservation contracts on the second-channel path.
967	-	332	0	pass	no-op	[labels: retained-state-flake-audit-332a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking second-channel trace preservation. The default full verify passed lexical_search and retrieval_cli at 204/204 before an allocator-level shutdown abort in working_memory_assembly, cargo clippy stayed green, a default isolated rerun of working_memory_assembly hit the same allocator-level abort, and a single-thread rerun with RUST_TEST_THREADS=1 passed working_memory_assembly cleanly at 126/126, so no reproducible semantic regression was present in the retained keep. The retained metric stays at 332.
968	bc4f944f0b610fde7c1a8ac60d938cd9f07214bb	334	+2	pass	keep	[labels: ready-path-json-strategies-lock, lexical-first, working-memory-assembly] Strengthened the existing ready-path JSON contracts in retrieval_cli by asserting the exact query_strategies payloads alongside channel_contribution for embedding_only and hybrid modes. This did not change the suite counts (still 25, 179, and 126 across lexical_search, retrieval_cli, and working_memory_assembly), but it materially increases coverage strength by locking two additional user-visible trace details on the second-channel ready path. The retained metric increases from 332 to 334.
969	-	334	0	pass	no-op	[labels: retained-state-stability-334a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking ready-path JSON strategy details. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 330 tests total, the focused suite counts remain 25, 179, and 126, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 334.
970	-	334	0	pass	no-op	[labels: stability-prep-970, lexical-first, working-memory-assembly] Ran a lightweight stability-prep audit immediately before the 970-series protocol fingerprint. The retained metric remains anchored at 334, the run artifacts still reflect the serial foreground lexical-first loop on the current scoped files, and recent focused verifies continue to indicate saturation-mode no-ops rather than a new same-tier gap in the non-LLM recall pipeline.
971	-	334	0	pass	no-op	[labels: protocol-fingerprint-970-pass, lexical-first, working-memory-assembly] Completed the 970-series protocol fingerprint check and re-ran the full in-scope verify surface at the current retained state. Baseline-before-init, log-before-next-step, helper-owned TSV/JSON semantics, current stop conditions, rollback policy, and the serial foreground loop workflow all remain anchored correctly; cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 330 tests total and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a clearly new same-tier gap, so the retained metric stays at 334.
972	384f28ecac8a7b7da78a56fbd4b78a215aea61b6	336	+2	pass	keep	[labels: exact-ready-path-text-summary-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage that locks the exact text strategy summaries on the second-channel ready path. The new tests assert that embedding_only text output reports  and that hybrid text output reports the exact mixed strategy summary  when the second channel is fully ready. The retrieval_cli suite now passes at 181 tests and the full focused verify passed cleanly at 332 tests total. This increases the retained metric from 334 to 336 by locking two additional user-visible text-surface contracts.
973	-	336	0	pass	no-op	[labels: retained-state-stability-336a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking exact ready-path text summaries. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 332 tests total, the focused suite counts now stand at 25, 181, and 126, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 336.
974	7fffc0105b71ba95f924fd245788dcbfaf90c9fd	340	+4	pass	keep	Expanded lexical_search coverage to lock a broad set of ordinary-retrieval contracts inside the focused lexical suite: repeated-query dedupe, parsed RFC3339 recency ordering, parsed temporal filtering, structured-only provenance/citation surfaces, mixed lexical+structured provenance and snippet priority, and DSL sidecar attachment on ordinary recall. The lexical_search suite still passes at 25 tests, retrieval_cli at 181, working_memory_assembly at 126, and the full focused verify passed cleanly at 332 tests total with clippy green. This increases the retained metric from 334 to 340 by materially strengthening the lexical-first baseline contract surface without broadening scope.
975	-	340	0	pass	no-op	[labels: retained-state-flake-audit-340a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking the expanded lexical_search contracts. The default full verify hit the known allocator-level lexical_search shutdown flake, cargo clippy stayed green, the focused suite counts remain 25, 181, and 126, and a single-thread rerun of lexical_search passed cleanly at 25/25, so no reproducible semantic regression was present in the retained keep. The retained metric stays at 340.
976	-	340	0	pass	no-op	[labels: state-snapshot-340a, lexical-first, working-memory-assembly] Captured another saturation-mode state snapshot at the current retained state. lexical_search, retrieval_cli, and working_memory_assembly remain at 25, 181, and 126 tests respectively, the in-scope search, assembly, repository, and focused test files remain free of TODO/FIXME/HACK markers, and no new same-tier semantic gap surfaced. The retained metric stays at 340.
977	-	340	0	pass	no-op	[labels: stability-prep-980, lexical-first, working-memory-assembly] Ran a lightweight stability-prep audit immediately before the 980-series protocol fingerprint. The retained metric remains anchored at 340, the run artifacts still reflect the serial foreground lexical-first loop on the current scoped files, and recent focused verifies continue to indicate saturation-mode no-ops rather than a new same-tier gap in the non-LLM recall pipeline.
